Composition,Eg,avg_Atomic number,avg_Atomic weight,avg_Period number,avg_Group number,avg_Family number,avg_L quantum number,avg_Mendeleev number,avg_Atomic radius (Å),avg_Covalent radius (Å),avg_Zunger radius (Å),avg_Ionic radius (Å),avg_Crystal radius (Å),avg_Pauling EN,avg_Martynov-Batsanov EN,avg_Gordy EN,avg_Mulliken EN,avg_Allen EN,avg_Metallic valence,avg_Number of valence electrons,avg_Number of s electrons,avg_Number of p electrons,avg_Number of d electrons,avg_Number of outer shell electrons,avg_First ionization energy (kJ/mol),avg_Polarizability,avg_Melting point (K),avg_Boiling point (K),avg_Density (g/mL),avg_Specific heat (J/g•K),avg_Heat of fusion (kJ/mol),avg_Heat of vaporization (kJ/mol),avg_Thermal conductivity (W/m•K),avg_Heat atomization (kJ/mol),avg_Cohesive energy (eV),diff_Atomic number,diff_Atomic weight,diff_Period number,diff_Group number,diff_Family number,diff_L quantum number,diff_Mendeleev number,diff_Atomic radius (Å),diff_Covalent radius (Å),diff_Zunger radius (Å),diff_Ionic radius (Å),diff_Crystal radius (Å),diff_Pauling EN,diff_Martynov-Batsanov EN,diff_Gordy EN,diff_Mulliken EN,diff_Allen EN,diff_Metallic valence,diff_Number of valence electrons,diff_Number of s electrons,diff_Number of p electrons,diff_Number of d electrons,diff_Number of outer shell electrons,diff_First ionization energy (kJ/mol),diff_Polarizability,diff_Melting point (K),diff_Boiling point (K),diff_Density (g/mL),diff_Specific heat (J/g•K),diff_Heat of fusion (kJ/mol),diff_Heat of vaporization (kJ/mol),diff_Thermal conductivity (W/m•K),diff_Heat atomization (kJ/mol),diff_Cohesive energy (eV),max_Atomic number,max_Atomic weight,max_Period number,max_Group number,max_Family number,max_L quantum number,max_Mendeleev number,max_Atomic radius (Å),max_Covalent radius (Å),max_Zunger radius (Å),max_Ionic radius (Å),max_Crystal radius (Å),max_Pauling EN,max_Martynov-Batsanov EN,max_Gordy EN,max_Mulliken EN,max_Allen EN,max_Metallic valence,max_Number of valence electrons,max_Number of s electrons,max_Number of p electrons,max_Number of d electrons,max_Number of outer shell electrons,max_First ionization energy (kJ/mol),max_Polarizability,max_Melting point (K),max_Boiling point (K),max_Density (g/mL),max_Specific heat (J/g•K),max_Heat of fusion (kJ/mol),max_Heat of vaporization (kJ/mol),max_Thermal conductivity (W/m•K),max_Heat atomization (kJ/mol),max_Cohesive energy (eV),min_Atomic number,min_Atomic weight,min_Period number,min_Group number,min_Family number,min_L quantum number,min_Mendeleev number,min_Atomic radius (Å),min_Covalent radius (Å),min_Zunger radius (Å),min_Ionic radius (Å),min_Crystal radius (Å),min_Pauling EN,min_Martynov-Batsanov EN,min_Gordy EN,min_Mulliken EN,min_Allen EN,min_Metallic valence,min_Number of valence electrons,min_Number of s electrons,min_Number of p electrons,min_Number of d electrons,min_Number of outer shell electrons,min_First ionization energy (kJ/mol),min_Polarizability,min_Melting point (K),min_Boiling point (K),min_Density (g/mL),min_Specific heat (J/g•K),min_Heat of fusion (kJ/mol),min_Heat of vaporization (kJ/mol),min_Thermal conductivity (W/m•K),min_Heat atomization (kJ/mol),min_Cohesive energy (eV)
SnS,1.3,33.0,75.388,4.0,15.0,6.0,1.0,84.0,1.225,1.215,1.49,1.225,0.5599999999999999,2.27,2.265,5.2192,5.26,2.2065,3.0,5.0,2.0,3.0,5.0,4.0,854.5,5.3,445.55,1630.5,4.69,0.4685,4.37325,152.8,33.4345,290.5,2.995,34,86.64399999999999,2,2,2,0,8,0.45,0.3899999999999999,0.7799999999999998,0.45,0.26,0.6200000000000001,0.77,1.2532,1.92,0.7649999999999999,2.0,2,0,2,10,4,291,4.800000000000001,119.2,1825.3,5.24,0.483,5.3115,286.0,66.33099999999999,23,0.29,50,118.71,5,16,7,1,88,1.45,1.41,1.88,1.45,0.69,2.58,2.65,5.8458,6.22,2.589,4.0,6,2,4,10,6,1000,7.7,505.15,2543.15,7.31,0.71,7.029,295.8,66.6,302,3.14,16,32.066,3,14,5,1,80,1.0,1.02,1.1,1.0,0.43,1.96,1.88,4.5926,4.3,1.824,2.0,4,2,2,0,2,709,2.9,385.95,717.8499999999999,2.07,0.227,1.7175,9.8,0.269,279,2.85
Pr1.29Lu0.71S3,1.38,34.904,80.43908769999999,4.199999999999999,10.8,5.4,1.658,63.008,1.3258,1.25922,2.29438,1.3258,0.74056,2.01988,2.0442,5.582371799999999,4.972,1.9894,2.4258,4.8,2.0,2.4,0.142,4.399999999999999,810.374,12.1254,817.174,1801.44,4.38594,0.49632,5.44932,132.9922,5.7152,319.882,3.29366,55,142.901,3,13,4,2,71,0.8500000000000001,0.6299999999999999,3.38,0.8500000000000001,0.8900000000000001,1.45,1.55,1.5429,3.12,1.499,1.1,3,0,4,1,4,476,25.3,1550.2,2957.3,7.77,0.5599999999999999,16.8825,346.1,16.131,148,1.58,71,174.967,6,16,7,3,88,1.85,1.65,4.48,1.85,1.32,2.58,2.65,6.1824,6.22,2.589,3.1,6,2,4,1,6,1000,28.2,1936.15,3675.15,9.84,0.71,18.6,355.9,16.4,427,4.43,16,32.066,3,3,3,1,17,1.0,1.02,1.1,1.0,0.43,1.13,1.1,4.6395,3.1,1.09,2.0,3,2,0,0,2,524,2.9,385.95,717.8499999999999,2.07,0.15,1.7175,9.8,0.269,279,2.85
AgAsSe2,1.4,37.0,85.1774475,4.25,14.5,6.0,0.75,81.75,1.2625,1.215,1.59,1.2625,0.7825,2.3025,2.105,5.13655,5.38,2.23725,3.11,7.0,1.75,2.75,2.5,4.5,890.0,4.949999999999999,826.4000000000001,1322.9,6.452500000000001,0.30125,13.097,90.185,120.77,260.0,2.7075,14,32.94661000000001,1,5,3,1,24,0.4500000000000002,0.1800000000000002,1.09,0.4500000000000002,0.73,0.6199999999999999,1.47,1.9088,1.449999999999999,0.5640000000000001,3.44,6,1,4,10,5,216,4.100000000000001,745.0000000000001,1595.0,5.71,0.09500000000000003,21.006,215.82,426.96,75,0.5,47,107.8682,5,16,7,1,89,1.6,1.34,2.375,1.6,1.29,2.55,2.54,5.761,5.89,2.434,5.44,11,2,4,10,6,947,7.9,1235.15,2485.15,10.5,0.33,27.7,250.58,429.0,302,2.96,33,74.92159,4,11,4,0,65,1.15,1.16,1.285,1.15,0.56,1.93,1.07,3.8522,4.44,1.87,2.0,5,1,0,0,1,731,3.8,490.15,890.15,4.79,0.235,6.694,34.76,2.04,227,2.46
TlInSe2,1.1,49.5,119.280325,4.75,14.5,6.0,1.0,82.25,1.4375,1.31,1.71375,1.4375,0.7725,2.125,2.1,5.104375,4.52,2.07825,2.72,4.5,2.0,2.5,5.0,4.25,757.25,6.225,496.55,1499.9,7.1975,0.25,5.19825,117.75,32.945,219.75,2.33,47,125.4233,2,3,2,0,14,0.75,0.3200000000000001,0.95,0.75,0.47,0.9299999999999997,0.9100000000000001,1.5273,2.79,0.7780000000000002,1.44,3,0,3,10,4,383,5.899999999999999,146.4,1395.0,7.11,0.19,3.431,193.8,79.55999999999999,61,0.6400000000000001,81,204.3833,6,16,7,1,89,1.9,1.48,2.235,1.9,1.03,2.55,2.54,5.761,5.89,2.434,3.44,6,2,4,10,6,941,9.7,576.15,2353.15,11.9,0.32,6.694,231.5,81.6,243,2.52,34,78.96,4,13,5,1,75,1.15,1.16,1.285,1.15,0.56,1.62,1.63,4.2337,3.1,1.656,2.0,3,2,1,0,2,558,3.8,429.75,958.15,4.79,0.13,3.263,37.7,2.04,182,1.88
InAs,0.33,41.0,94.869795,4.5,14.0,5.5,1.0,79.5,1.35,1.32,1.7325,1.35,0.83,1.98,1.95,4.70285,4.2,1.9335,3.22,4.0,2.0,2.0,5.0,3.5,752.5,7.0,759.95,1621.65,6.52,0.28,15.4815,133.13,65.8,272.5,2.74,16,39.89641,1,2,1,0,9,0.4000000000000001,0.24,0.6349999999999998,0.4000000000000001,0.22,0.4000000000000001,0.6400000000000001,0.9382999999999999,2.2,0.5549999999999999,0.4399999999999999,2,0,2,10,3,389,5.399999999999999,660.4000000000001,1463.0,1.579999999999999,0.1,24.437,196.74,31.59999999999999,59,0.4399999999999999,49,114.818,5,15,6,1,84,1.55,1.44,2.05,1.55,0.94,2.18,2.27,5.172,5.3,2.211,3.44,5,2,3,10,5,947,9.7,1090.15,2353.15,7.31,0.33,27.7,231.5,81.6,302,2.96,33,74.92159,4,13,5,1,75,1.15,1.2,1.415,1.15,0.72,1.78,1.63,4.2337,3.1,1.656,3.0,3,2,1,0,2,558,4.3,429.75,890.15,5.73,0.23,3.263,34.76,50.0,243,2.52
TaGaSe2,2.12,43.0,102.147725,4.5,12.5,5.75,1.25,75.0,1.2625,1.23,1.76375,1.2625,0.665,2.1025,2.18,5.56575,4.7725,1.991,3.11,5.0,2.0,2.25,0.75,4.25,805.5,7.199999999999999,1138.1,2572.65,8.02,0.2875,12.6445,269.275,25.545,380.5,3.9575,42,111.2249,2,11,3,1,41,0.3,0.1800000000000002,1.505,0.3,0.22,1.05,0.8400000000000001,2.4066,2.69,1.094,3.0,3,0,4,3,4,362,9.3,2966.2,4740.0,11.81,0.23,26.01,705.3,55.46,555,5.64,73,180.9479,6,16,7,2,89,1.45,1.34,2.79,1.45,0.78,2.55,2.54,6.5738,5.89,2.434,5.0,6,2,4,3,6,941,13.1,3269.15,5698.15,16.6,0.37,31.6,743.0,57.5,782,8.1,31,69.723,4,5,4,1,48,1.15,1.16,1.285,1.15,0.56,1.5,1.7,4.1672,3.2,1.34,2.0,3,2,0,0,2,579,3.8,302.95,958.15,4.79,0.14,5.59,37.7,2.04,227,2.46
AlN,6.03,10.0,20.4941395,2.5,14.0,6.0,1.0,77.5,0.95,0.965,1.1075,0.95,0.415,2.325,2.245,5.20355,5.265,2.3395,3.0,4.0,2.0,2.0,0.0,4.0,990.0,4.7,498.2,1408.75,1.350625,0.97,5.5752,148.0964,118.51299,399.5,4.155,6,12.974799,1,2,2,0,9,0.6,0.4299999999999999,1.135,0.6,0.23,1.43,1.21,3.3597,4.07,1.453,0.0,2,0,2,0,2,824,7.200000000000001,869.9,2662.8,2.69875,0.14,10.4296,290.6072,236.97402,147,1.53,13,26.981539,3,15,7,1,82,1.25,1.18,1.675,1.25,0.53,3.04,2.85,6.8834,7.3,3.066,3.0,5,2,3,0,5,1402,8.3,933.15,2740.15,2.7,1.04,10.79,293.4,237.0,473,4.92,7,14.00674,2,13,5,1,73,0.65,0.75,0.54,0.65,0.3,1.61,1.64,3.5237,3.23,1.613,3.0,3,2,1,0,3,578,1.1,63.24999999999997,77.34999999999997,0.00125,0.9,0.3604,2.7928,0.02598,326,3.39
Sr8.007Ge2.043Bi7.949Se24,0.74,43.93935569894521,104.9106057556132,4.569180218576632,13.04438200909545,5.619586180623347,0.8093526036334198,72.50332150765493,1.402084573442225,1.362684111526465,1.800131026929213,1.402084573442225,0.8188852115526559,2.11838519964761,2.168726398247577,5.07209192123622,4.8585111550275,2.051905354889402,2.286554441772423,4.950855972761255,2.0,2.950855972761256,1.892664111050263,4.950855972761255,812.5135360365722,9.130648348770208,641.1373377937568,1361.362052667921,5.325586085382985,0.2783337698516631,9.343227695897522,84.92801971475511,12.29889830710255,218.5004881068597,2.333541512893164,51,136.37037,2,14,5,1,81,0.8500000000000001,0.75,1.925,0.8500000000000001,0.79,1.6,1.41,2.4022,3.89,1.471,2.0,4,0,4,10,4,392,23.8,730.4,2145.0,7.21,0.2,30.246,293.2,57.86,213,2.13,83,208.98037,6,16,7,1,89,2.0,1.91,3.21,2.0,1.32,2.55,2.54,5.761,5.89,2.434,4.0,6,2,4,10,6,941,27.6,1220.55,3103.15,9.75,0.32,36.94,330.9,59.9,377,3.85,32,72.61,4,2,2,0,8,1.15,1.16,1.285,1.15,0.53,0.95,1.13,3.3588,2.0,0.963,2.0,2,2,0,0,2,549,3.8,490.15,958.15,2.54,0.12,6.694,37.7,2.04,164,1.72
Zr3O,0.2,32.0,72.41785,4.25,7.0,4.75,1.75,54.75,1.3125,1.27,2.235,1.3125,0.9475,1.8575,2.105,4.68165,4.615,1.8925,3.0,4.5,2.0,1.0,1.5,3.0,808.5,13.62325,1607.55,3510.15,4.8828575,0.4325,12.7306475,44.502475,17.031685,519.0,5.3425,32,75.22460000000001,3,12,3,1,43,0.9500000000000001,0.72,2.36,0.9500000000000001,0.35,2.11,1.62,4.918200000000001,3.9,2.29,4.0,2,0,4,2,4,674,17.107,2070.4,4560.0,6.50857,0.65,16.67741,54.7901,22.67326,360,3.63,40,91.224,5,16,7,2,87,1.55,1.45,2.825,1.55,1.21,3.44,3.32,8.3703,7.54,3.61,4.0,6,2,4,2,6,1314,17.9,2125.15,4650.15,6.51,0.92,16.9,58.2,22.7,609,6.25,8,15.9994,2,4,4,1,44,0.6,0.73,0.465,0.6,0.86,1.33,1.7,3.4521,3.64,1.32,0.0,4,2,0,0,2,640,0.793,54.74999999999997,90.14999999999998,0.00143,0.27,0.22259,3.4099,0.02674,249,2.62
In0.4As0.4Ga0.6P0.6,1.85,30.2,68.1569466,3.9,14.0,5.800000000000001,1.0,78.9,1.23,1.224,1.5735,1.23,0.6529999999999999,1.992,1.986,4.61903,4.326000000000001,1.9761,3.22,4.0,2.0,2.0,2.0,3.8,778.3,6.31,490.04,1617.45,4.924,0.454,8.0667,134.5007,38.5705,289.3,2.968,34,83.84423799999999,2,2,2,0,10,0.55,0.3799999999999999,0.8099999999999998,0.55,0.6299999999999999,0.4099999999999999,0.69,1.004799999999999,2.52,0.5970000000000002,0.4399999999999999,2,0,2,10,3,454,6.1,787.2,2123.0,5.489999999999999,0.54,27.043,246.571,81.365,72,0.9100000000000001,49,114.818,5,15,7,1,84,1.55,1.44,2.05,1.55,0.94,2.19,2.32,5.172,5.62,2.253,3.44,5,2,3,10,5,1012,9.7,1090.15,2676.15,7.31,0.77,27.7,258.7,81.6,315,3.43,15,30.973762,3,13,5,1,74,1.0,1.06,1.24,1.0,0.31,1.78,1.63,4.1672,3.1,1.656,3.0,3,2,1,0,2,558,3.6,302.95,553.15,1.82,0.23,0.657,12.129,0.235,243,2.52
TlCr5S8,1.01,23.5,51.49227142857143,3.571428571428571,12.21428571428571,5.785714285714286,1.357142857142857,73.21428571428571,1.207142857142857,1.11,1.659642857142857,1.207142857142857,0.5907142857142857,2.182857142857143,2.349285714285714,4.841764285714286,5.111428571428571,2.1965,3.452857142857143,5.785714285714286,1.642857142857143,2.357142857142857,2.5,4.0,846.7142857142858,6.342857142857143,1022.464285714286,1585.621428571429,4.600714285714286,0.5757142857142857,7.313,140.2857142857143,36.91085714285715,314.2142857142857,3.227142857142857,65,172.3173,3,10,3,1,39,0.8999999999999999,0.46,1.34,0.8999999999999999,0.6000000000000001,0.96,0.96,2.5745,3.02,0.9390000000000001,3.78,3,1,4,10,5,411,8.7,1744.2,2227.3,9.83,0.58,15.1825,334.5,93.431,215,2.22,81,204.3833,6,16,7,2,88,1.9,1.48,2.44,1.9,1.03,2.58,2.65,5.8458,6.22,2.589,5.78,6,2,4,10,6,1000,11.6,2130.15,2945.15,11.9,0.71,16.9,344.3,93.7,397,4.1,16,32.066,3,6,4,1,49,1.0,1.02,1.1,1.0,0.43,1.62,1.69,3.2713,3.2,1.65,2.0,3,1,0,0,1,589,2.9,385.95,717.8499999999999,2.07,0.13,1.7175,9.8,0.269,182,1.88
Cu3TbTe3,0.46,44.0,104.6233342857143,4.714285714285714,12.0,4.714285714285714,1.714285714285714,70.14285714285714,1.428571428571429,1.311428571428571,2.145714285714285,1.428571428571429,0.9485714285714286,1.885714285714286,1.654285714285714,4.650642857142858,4.715714285714286,1.873428571428571,3.617142857142857,7.714285714285714,1.571428571428571,1.714285714285714,8.571428571428571,1.571428571428571,773.0,8.871428571428572,1124.935714285714,2258.921428571428,7.69,0.2742857142857142,14.63142857142857,198.4928571428571,174.45,284.8571428571429,3.012857142857143,36,95.37934000000001,2,13,3,2,61,0.3999999999999999,0.4200000000000002,2.22,0.3999999999999999,0.47,0.9000000000000001,1.3,1.7781,2.39,1.068,3.44,8,1,4,10,1,300,20.0,915.5000000000001,2240.2,2.720000000000001,0.2,6.689999999999998,278.35,398.65,192,1.86,65,158.92534,6,16,6,3,90,1.75,1.59,3.89,1.75,1.18,2.1,2.38,5.4418,5.49,2.158,5.44,11,2,4,10,2,869,25.5,1638.15,3503.15,8.96,0.38,17.49,330.9,401.0,389,4.05,29,63.546,4,3,3,1,29,1.35,1.17,1.67,1.35,0.71,1.2,1.08,3.6637,3.1,1.09,2.0,3,1,0,0,1,569,5.5,722.65,1262.95,6.24,0.18,10.8,52.55,2.35,197,2.19
Na2CdGe2S6,2.57,20.90909090909091,45.09150327272727,3.363636363636363,12.54545454545454,5.454545454545454,0.7272727272727273,69.0909090909091,1.240909090909091,1.192727272727273,1.566818181818182,1.240909090909091,0.6254545454545455,2.095454545454546,2.096363636363636,4.850027272727273,5.140909090909091,2.070909090909091,2.403636363636363,5.272727272727272,1.818181818181818,2.545454545454545,0.9090909090909092,4.363636363636363,853.090909090909,7.636363636363637,553.8863636363636,1260.35,3.059272727272727,0.69,8.688454545454546,92.19,45.474,250.7272727272727,2.562363636363636,37,89.421232,2,15,6,1,86,0.8,0.52,1.55,0.8,0.73,1.65,1.76,3.308,3.37,1.72,3.44,11,1,4,10,5,504,20.7,849.5999999999999,2385.3,7.679,1.0,35.2225,321.1,140.731,268,2.737,48,112.411,5,16,7,1,88,1.8,1.54,2.65,1.8,1.16,2.58,2.65,5.8458,6.22,2.589,4.44,12,2,4,10,6,1000,23.6,1220.55,3103.15,8.65,1.23,36.94,330.9,141.0,377,3.85,11,22.989768,3,1,1,0,2,1.0,1.02,1.1,1.0,0.43,0.93,0.89,2.5378,2.85,0.869,1.0,1,1,0,0,1,496,2.9,370.95,717.8499999999999,0.971,0.23,1.7175,9.8,0.269,109,1.113
La2Ga2GeS8,2.78,25.84615384615385,57.415,3.692307692307693,13.38461538461539,6.000000000000001,1.153846153846154,73.61538461538463,1.211538461538462,1.175384615384615,1.531538461538462,1.211538461538462,0.6315384615384616,2.19,2.253076923076923,5.290384615384616,5.150769230769232,2.184461538461538,2.529230769230769,4.923076923076923,2.0,2.769230769230769,0.1538461538461539,4.76923076923077,845.8461538461539,8.284615384615385,561.5653846153846,1665.580769230769,3.536923076923077,0.5476923076923077,5.712307692307693,134.9769230769231,13.0963076923077,309.7692307692308,3.17,41,106.8395,3,13,4,1,75,0.95,0.6699999999999999,1.98,0.95,0.9300000000000002,1.48,1.3,1.678599999999999,3.12,1.499,2.0,3,0,4,1,4,462,28.2,917.5999999999999,3009.3,4.08,0.52,35.2225,404.2,59.631,144,1.66,57,138.9055,6,16,7,2,88,1.95,1.69,3.08,1.95,1.36,2.58,2.65,5.8458,6.22,2.589,4.0,6,2,4,1,6,1000,31.1,1220.55,3727.15,6.15,0.71,36.94,414.0,59.9,423,4.47,16,32.066,3,3,3,1,13,1.0,1.02,1.1,1.0,0.43,1.1,1.35,4.1672,3.1,1.09,2.0,3,2,0,0,2,538,2.9,302.95,717.8499999999999,2.07,0.19,1.7175,9.8,0.269,279,2.81
CsLuCoS3,1.18,33.5,77.16727166666666,4.166666666666666,10.16666666666667,4.833333333333333,1.166666666666667,61.33333333333333,1.45,1.355,2.166666666666667,1.45,0.7733333333333332,1.946666666666667,1.94,5.275,4.706666666666666,1.892666666666666,2.63,5.166666666666666,1.833333333333333,2.0,1.333333333333333,3.833333333333333,776.6666666666666,16.28333333333333,860.6166666666667,1652.333333333333,4.47,0.49,7.00575,138.2566666666667,29.36783333333333,294.6666666666666,3.029,55,142.901,3,15,6,2,83,1.6,1.33,3.21,1.6,1.38,1.79,1.88,2.684800000000001,4.039999999999999,1.93,4.78,8,1,4,7,5,624,56.7,1634.6,2957.3,7.97,0.5599999999999999,16.8825,366.7,99.731,348,3.625999999999999,71,174.967,6,16,7,2,88,2.6,2.35,4.31,2.6,1.81,2.58,2.65,6.1824,6.22,2.589,5.78,9,2,4,7,6,1000,59.6,1936.15,3675.15,9.84,0.71,18.6,376.5,100.0,427,4.43,16,32.066,3,1,1,0,5,1.0,1.02,1.1,1.0,0.43,0.79,0.77,3.4976,2.18,0.659,1.0,1,1,0,0,1,376,2.9,301.55,717.8499999999999,1.87,0.15,1.7175,9.8,0.269,79,0.804
La2MoO5,0.49,24.5,56.7185,3.375,11.5,5.625,1.375,63.875,1.04375,1.04125,1.400625,1.04375,1.195,2.695,2.655,6.8049875,5.975000000000001,2.7125,1.4725,5.25,1.875,2.5,0.875,4.375,1041.25,9.870625,693.7750000000001,1598.775,2.81339375,0.65375,5.68911875,180.3811875,20.6417125,343.625,3.6075,49,122.9061,4,13,4,1,74,1.35,0.96,2.615,1.35,0.5700000000000001,2.34,1.97,4.8155,4.44,2.52,5.78,3,1,4,5,5,776,30.307,2835.4,4795.0,10.19857,0.73,31.77741,594.5901,137.97326,409,4.2,57,138.9055,6,16,7,2,87,1.95,1.69,3.08,1.95,1.36,3.44,3.32,8.3703,7.54,3.61,5.78,6,2,4,5,6,1314,31.1,2890.15,4885.15,10.2,0.92,32.0,598.0,138.0,658,6.82,8,15.9994,2,3,3,1,13,0.6,0.73,0.465,0.6,0.79,1.1,1.35,3.5548,3.1,1.09,0.0,3,1,0,0,1,538,0.793,54.74999999999997,90.14999999999998,0.00143,0.19,0.22259,3.4099,0.02674,249,2.62
Ba7B3O9F5,4.94,21.83333333333334,51.36285895833333,3.166666666666667,11.75,5.625,0.7083333333333334,63.625,1.0625,1.10375,1.350375,1.0625,1.1675,2.63375,2.585,7.118095833333333,6.232500000000001,2.740625,0.9583333333333334,4.666666666666667,2.0,2.666666666666667,0.0,4.666666666666667,1089.791666666667,12.383625,616.7916666666667,962.4208333333335,1.31422375,0.7028333333333334,8.672054583333333,104.5890875,8.757506666666666,233.9583333333333,2.437916666666666,51,126.516,4,15,6,1,84,1.65,1.26,2.997,1.65,1.24,3.09,2.7,5.6155,8.01,3.311999999999999,3.0,5,0,5,0,5,1178,39.066,2298.8,2738.1,3.49857,0.8160000000000001,49.97741000000001,486.4302,26.97326,494,4.97,56,137.327,6,17,8,1,93,2.15,1.98,3.402,2.15,1.49,3.98,3.78,10.0854,10.41,4.193,3.0,7,2,5,0,7,1681,39.7,2352.15,2823.15,3.5,1.02,50.2,489.7,27.0,573,5.81,5,10.811,2,2,2,0,9,0.5,0.72,0.405,0.5,0.25,0.89,1.08,4.4699,2.4,0.881,0.0,2,2,0,0,2,503,0.634,53.34999999999997,85.04999999999998,0.00143,0.204,0.22259,3.2698,0.02674,79,0.84
Ag2GeSe3,0.9,38.0,87.53773333333334,4.333333333333333,14.0,5.833333333333333,0.6666666666666666,79.33333333333333,1.316666666666667,1.23,1.694166666666667,1.316666666666667,0.7983333333333333,2.253333333333333,1.958333333333333,4.938,5.191666666666666,2.172666666666667,3.48,7.333333333333333,1.666666666666667,2.333333333333333,3.333333333333333,4.0,841.1666666666666,5.55,860.2166666666667,1824.65,6.781666666666666,0.2916666666666666,13.27033333333333,157.5266666666667,154.0033333333333,271.0,2.855,15,35.2582,1,5,3,1,24,0.4500000000000002,0.1800000000000002,1.09,0.4500000000000002,0.76,0.6199999999999999,1.47,1.9088,1.449999999999999,0.5640000000000001,3.44,7,1,4,10,5,210,4.100000000000001,745.0000000000001,2145.0,5.71,0.08500000000000002,30.246,293.2,426.96,150,1.39,47,107.8682,5,16,7,1,89,1.6,1.34,2.375,1.6,1.29,2.55,2.54,5.761,5.89,2.434,5.44,11,2,4,10,6,941,7.9,1235.15,3103.15,10.5,0.32,36.94,330.9,429.0,377,3.85,32,72.61,4,11,4,0,65,1.15,1.16,1.285,1.15,0.53,1.93,1.07,3.8522,4.44,1.87,2.0,4,1,0,0,1,731,3.8,490.15,958.15,4.79,0.235,6.694,37.7,2.04,227,2.46
In2Se,0.65,44.0,102.8653333333333,4.666666666666666,14.0,5.666666666666666,1.0,79.66666666666666,1.416666666666667,1.346666666666667,1.795,1.416666666666667,0.8133333333333332,2.036666666666666,1.933333333333333,4.742799999999999,4.029999999999999,1.915333333333333,2.96,4.0,2.0,2.0,6.666666666666666,3.333333333333333,685.6666666666666,7.733333333333333,449.8833333333333,1888.15,6.47,0.26,4.406666666666666,166.9,55.07999999999999,237.6666666666667,2.5,15,35.858,1,3,2,0,14,0.4000000000000001,0.28,0.7649999999999999,0.4000000000000001,0.3799999999999999,0.7699999999999998,0.9100000000000001,1.5273,2.79,0.7780000000000002,1.44,3,0,3,10,4,383,5.899999999999999,60.39999999999998,1395.0,2.52,0.09,3.431,193.8,79.55999999999999,16,0.06000000000000005,49,114.818,5,16,7,1,89,1.55,1.44,2.05,1.55,0.94,2.55,2.54,5.761,5.89,2.434,3.44,6,2,4,10,6,941,9.7,490.15,2353.15,7.31,0.32,6.694,231.5,81.6,243,2.52,34,78.96,4,13,5,1,75,1.15,1.16,1.285,1.15,0.56,1.78,1.63,4.2337,3.1,1.656,2.0,3,2,1,0,2,558,3.8,429.75,958.15,4.79,0.23,3.263,37.7,2.04,227,2.46
Ge0.4Si0.6,0.94,21.2,45.8953,3.4,14.0,6.0,1.0,78.4,1.16,1.154,1.476,1.16,0.452,1.944,1.984,4.36736,4.702,1.9472,4.0,4.0,2.0,2.0,0.0,4.0,777.0,5.68,1498.11,2818.150000000001,3.526,0.554,45.10599999999999,362.892,112.76,422.0,4.318,18,44.5245,1,0,0,0,1,0.1499999999999999,0.1099999999999999,0.1400000000000001,0.1499999999999999,0.13,0.1099999999999999,0.01000000000000001,0.4554,0.1699999999999999,0.07800000000000007,0.0,0,0,0,0,0,25,0.6999999999999993,462.6000000000001,475.0,2.99,0.39,13.61,53.32000000000005,88.1,75,0.7799999999999998,32,72.61,4,14,6,1,79,1.25,1.22,1.56,1.25,0.53,2.01,1.99,4.6406,4.77,1.994,4.0,4,2,2,0,4,787,6.1,1683.15,3103.15,5.32,0.71,50.55,384.22,148.0,452,4.63,14,28.0855,3,14,6,1,78,1.1,1.11,1.42,1.1,0.4,1.9,1.98,4.1852,4.6,1.916,4.0,4,2,2,0,4,762,5.4,1220.55,2628.15,2.33,0.32,36.94,330.9,59.9,377,3.85
CdIn2Te4,1.17,50.57142857142857,121.7781428571429,4.999999999999999,14.57142857142857,5.428571428571428,0.8571428571428571,82.85714285714285,1.464285714285714,1.4,1.856428571428571,1.464285714285714,1.034285714285714,1.95,2.025714285714285,4.879042857142856,4.641428571428571,1.923428571428571,2.76,6.0,2.0,2.571428571428571,9.999999999999998,2.0,780.0,6.942857142857142,620.5928571428572,1542.321428571428,6.890000000000001,0.2128571428571429,11.81114285714285,110.3957142857143,38.48571428571428,198.0,2.137142857142857,4,15.18899999999999,0,4,2,1,20,0.1500000000000001,0.1199999999999999,0.5449999999999999,0.1500000000000001,0.1900000000000001,0.4100000000000001,0.98,1.5231,2.39,0.6379999999999999,2.44,9,0,4,0,0,311,4.199999999999999,292.9,1315.0,2.41,0.03,14.227,178.95,94.45,131,1.36,52,127.6,5,16,6,1,90,1.55,1.48,2.215,1.55,1.11,2.1,2.38,5.4418,5.49,2.158,4.44,12,2,4,10,2,869,9.7,722.65,2353.15,8.65,0.23,17.49,231.5,96.8,243,2.52,48,112.411,5,12,4,0,70,1.4,1.36,1.67,1.4,0.92,1.69,1.4,3.9187,3.1,1.52,2.0,3,2,0,10,2,558,5.5,429.75,1038.15,6.24,0.2,3.263,52.55,2.35,112,1.16
